table,key,field,expected,tolerance
Table 1,61851,HoT_SoBI_days,NA,0.500000000001
Table 1,61852,fish_id,61852,0
Table 1,61852,fork_length_mm,138,0
Table 1,61852,weight_g,21.5,0.050000000001
Table 1,61852,RP1,0,0
Table 1,61852,all_MM,3,0
Table 1,61852,Rx1,0,0
Table 1,61852,R1a,0,0
Table 1,61852,R1b,0,0
Table 1,61852,R2a,0,0
Table 1,61852,Rx2b,0,0
Table 1,61852,Rx2a,1,0
Table 1,61852,R2b,0,0
Table 1,61852,R3a,0,0
Table 1,61852,R3b,0,0
Table 1,61852,HoT,75,0
Table 1,61852,Inner_Bay,0,0
Table 1,61852,Outer_Bay,17,0
Table 1,61852,all_SoBI,0,0
Table 1,61852,total_detections,96,0
Table 1,61852,release_Rx1_days,NA,0.500000000001
Table 1,61852,release_HoT_days,1.9,0.005000000001
Table 1,61852,HoT_inner_days,NA,0.500000000001
Table 1,61852,HoT_outer_days,4.92,0.005000000001
Table 1,61852,HoT_SoBI_days,NA,0.500000000001
Table 1,61853,fish_id,61853,0
Table 1,61853,fork_length_mm,141,0
Table 1,61853,weight_g,21.8,0.050000000001
Table 1,61853,RP1,1,0
Table 1,61853,all_MM,3,0
Table 1,61853,Rx1,0,0
Table 1,61853,R1a,0,0
Table 1,61853,R1b,3,0
Table 1,61853,R2a,0,0
Table 1,61853,Rx2b,0,0
Table 1,61853,Rx2a,1,0
Table 1,61853,R2b,0,0
Table 1,61853,R3a,0,0
Table 1,61853,R3b,0,0
Table 1,61853,HoT,57,0
Table 1,61853,Inner_Bay,6,0
Table 1,61853,Outer_Bay,190,0
Table 1,61853,all_SoBI,0,0
Table 1,61853,total_detections,261,0
Table 1,61853,release_Rx1_days,NA,0.500000000001
Table 1,61853,release_HoT_days,5.34,0.005000000001
Table 1,61853,HoT_inner_days,1.33,0.005000000001
Table 1,61853,HoT_outer_days,5.87,0.005000000001
Table 1,61853,HoT_SoBI_days,NA,0.500000000001
Table 1,61854,fish_id,61854,0
Table 1,61854,fork_length_mm,134,0
Table 1,61854,weight_g,20.4,0.050000000001
Table 1,61854,RP1,0,0
Table 1,61854,all_MM,3,0
Table 1,61854,Rx1,0,0
Table 1,61854,R1a,0,0
Table 1,61854,R1b,4,0
Table 1,61854,R2a,0,0
Table 1,61854,Rx2b,1,0
Table 1,61854,Rx2a,0,0
Table 1,61854,R2b,0,0
Table 1,61854,R3a,0,0
Table 1,61854,R3b,1,0
Table 1,61854,HoT,57,0
Table 1,61854,Inner_Bay,27,0
Table 1,61854,Outer_Bay,228,0
Table 1,61854,all_SoBI,0,0
Table 1,61854,total_detections,321,0
Table 1,61854,release_Rx1_days,NA,0.500000000001
Table 1,61854,release_HoT_days,2.29,0.005000000001
Table 1,61854,HoT_inner_days,1.08,0.005000000001
Table 1,61854,HoT_outer_days,3.92,0.005000000001
Table 1,61854,HoT_SoBI_days,NA,0.500000000001
Table 1,61855,fish_id,61855,0
Table 1,61855,fork_length_mm,162,0
Table 1,61855,weight_g,41.2,0.050000000001
Table 1,61855,RP1,0,0
Table 1,61855,all_MM,3,0
Table 1,61855,Rx1,0,0
Table 1,61855,R1a,0,0
Table 1,61855,R1b,0,0
Table 1,61855,R2a,0,0
Table 1,61855,Rx2b,0,0
Table 1,61855,Rx2a,0,0
Table 1,61855,R2b,0,0
Table 1,61855,R3a,2,0
Table 1,61855,R3b,0,0
Table 1,61855,HoT,192,0
Table 1,61855,Inner_Bay,0,0
Table 1,61855,Outer_Bay,11,0
Table 1,61855,all_SoBI,1,0
Table 1,61855,total_detections,209,0
Table 1,61855,release_Rx1_days,NA,0.500000000001
Table 1,61855,release_HoT_days,6.31,0.005000000001
Table 1,61855,HoT_inner_days,NA,0.500000000001
Table 1,61855,HoT_outer_days,4.47,0.005000000001
Table 1,61855,HoT_SoBI_days,32.57,0.005000000001
Table 1,61856,fish_id,61856,0
Table 1,61856,fork_length_mm,147,0
