fish_index,fish_id,quantity,mean,sd,rhat,rhat_upper_95,ess,mcse,mcse_over_sd,chain_1_mean,chain_2_mean,chain_3_mean,chain_mean_range,constant
41,61905,Butters,0,0,NA,NA,NA,0,0,0,0,0,0,TRUE
41,61905,Neither,0.483627450980392,0.499756366205249,1.00016298542503,1.00099478134925,9988.7586545448,0.0050015783291524,0.0100080332485415,0.495588235294118,0.474705882352941,0.480588235294118,0.0208823529411765,FALSE
42,61906,Moses,0,0,NA,NA,NA,0,0,0,0,0,0,TRUE
42,61906,Butters,0,0,NA,NA,NA,0,0,0,0,0,0,TRUE
42,61906,Neither,1,0,NA,NA,NA,0,0,1,1,1,0,TRUE
43,61907,Moses,0.509019607843137,0.49994314767265,0.99996773897769,1.00027622842612,9965.68039116977,0.00504113630813371,0.0100834191479598,0.506470588235294,0.516470588235294,0.504117647058824,0.0123529411764706,FALSE
43,61907,Butters,0,0,NA,NA,NA,0,0,0,0,0,0,TRUE
43,61907,Neither,0.490980392156863,0.49994314767265,0.99996773897769,1.00027622842612,9965.68039116977,0.00504113630813371,0.0100834191479598,0.493529411764706,0.483529411764706,0.495882352941176,0.0123529411764706,FALSE
44,61908,Moses,0,0,NA,NA,NA,0,0,0,0,0,0,TRUE
44,61908,Butters,1,0,NA,NA,NA,0,0,1,1,1,0,TRUE
44,61908,Neither,0,0,NA,NA,NA,0,0,0,0,0,0,TRUE
45,61909,Moses,0,0,NA,NA,NA,0,0,0,0,0,0,TRUE
45,61909,Butters,0,0,NA,NA,NA,0,0,0,0,0,0,TRUE
45,61909,Neither,1,0,NA,NA,NA,0,0,1,1,1,0,TRUE
