parameter,saved_rhat,saved_ess,constant,scientific_monitor,coda_rhat,coda_ess
p_R2a,1.0009408682166272,10000,FALSE,TRUE,1.00006140920166,8998.47349553522
p_R2b,1.0008518754864746,10000,FALSE,TRUE,0.999872386720396,9828.11620880528
p_R3a,1.0008999020082798,10000,FALSE,TRUE,0.999968930554252,10200
p_R3b,1.0008699895795874,10000,FALSE,TRUE,0.999889671424425,9771.23832961386
p_RP1,1.0008737915478314,10000,FALSE,TRUE,0.999896818809261,10200
p_Rest,1.0009106472061098,10000,FALSE,TRUE,1.00009048825301,10024.5996159652
p_Rx1,1.0009522437486287,10000,FALSE,TRUE,1.00021532539288,10200
p_Rx2a,1.001553608498855,2900,FALSE,TRUE,1.00064253224435,10200
p_Rx2b,1.0009997761453104,10000,FALSE,TRUE,1.00031806993331,10200
p_Z1a,1.0011119599538723,7700,FALSE,TRUE,1.0001918524689,10376.5573212898
p_Z2a,1.0011332361697842,7100,FALSE,TRUE,1.00005166122157,8838.23468797511
p_Z2b,1.001286989235796,4600,FALSE,TRUE,1.00041672680733,10297.0394244906
p_Z3b,1.0015486575328136,6500,FALSE,TRUE,1.00086709225575,10200
p_Z5b_Z4a,1.0009731744654704,10000,FALSE,TRUE,1.00047433005752,10405.5570525927
p_Z5b_Z4ab,1.0009750704794855,10000,FALSE,TRUE,1.00000479941017,10200
p_dodge,1.001139798981829,6900,FALSE,TRUE,1.00030056098115,9707.33150506036
