fish_id,location_id,first_detection_datetime,last_detection_datetime,detection_count,detected
61854,Outer_Bay,2022-06-01T19:08:34-0400,2022-06-10T14:50:29-0400,228,1
61854,all_SoBI,NA,NA,0,0
61855,RP1,NA,NA,0,0
61855,all_MM,2022-05-27T23:10:07-0400,2022-05-27T23:11:31-0400,3,1
61855,Rx1,NA,NA,0,0
61855,R1a,NA,NA,0,0
61855,R1b,NA,NA,0,0
61855,R2a,NA,NA,0,0
61855,Rx2b,NA,NA,0,0
61855,Rx2a,NA,NA,0,0
61855,R2b,NA,NA,0,0
61855,R3a,2022-05-28T01:23:53-0400,2022-05-28T01:24:29-0400,2,1
61855,R3b,NA,NA,0,0
61855,HoT,2022-06-01T21:23:20-0400,2022-06-02T04:36:15-0400,192,1
61855,Inner_Bay,NA,NA,0,0
61855,Outer_Bay,2022-06-06T15:51:04-0400,2022-06-06T15:59:06-0400,11,1
61855,all_SoBI,2022-07-04T18:13:38-0400,2022-07-04T18:13:38-0400,1,1
61856,RP1,NA,NA,0,0
61856,all_MM,2022-05-28T03:03:10-0400,2022-05-28T03:03:52-0400,3,1
61856,Rx1,NA,NA,0,0
61856,R1a,NA,NA,0,0
61856,R1b,NA,NA,0,0
61856,R2a,NA,NA,0,0
61856,Rx2b,NA,NA,0,0
61856,Rx2a,NA,NA,0,0
61856,R2b,NA,NA,0,0
61856,R3a,2022-05-28T05:29:09-0400,2022-05-28T05:29:09-0400,1,1
61856,R3b,NA,NA,0,0
61856,HoT,2022-05-28T16:49:53-0400,2022-05-28T16:55:17-0400,7,1
61856,Inner_Bay,NA,NA,0,0
61856,Outer_Bay,2022-06-02T14:49:29-0400,2022-06-02T15:14:43-0400,29,1
61856,all_SoBI,NA,NA,0,0
61857,RP1,2022-05-27T21:03:11-0400,2022-05-27T21:03:11-0400,1,1
61857,all_MM,2022-05-28T03:01:21-0400,2022-05-28T03:02:57-0400,3,1
61857,Rx1,NA,NA,0,0
61857,R1a,NA,NA,0,0
61857,R1b,2022-05-28T06:24:06-0400,2022-05-28T06:25:04-0400,3,1
61857,R2a,NA,NA,0,0
61857,Rx2b,2022-05-28T07:10:27-0400,2022-05-28T07:11:19-0400,2,1
61857,Rx2a,NA,NA,0,0
61857,R2b,2022-05-28T07:22:24-0400,2022-05-28T07:22:24-0400,1,1
61857,R3a,NA,NA,0,0
61857,R3b,NA,NA,0,0
61857,HoT,2022-05-28T20:23:48-0400,2022-05-30T16:56:43-0400,230,1
61857,Inner_Bay,2022-06-09T00:50:56-0400,2022-06-09T01:06:58-0400,11,1
61857,Outer_Bay,NA,NA,0,0
61857,all_SoBI,NA,NA,0,0
61858,RP1,NA,NA,0,0
61858,all_MM,NA,NA,0,0
61858,Rx1,NA,NA,0,0
61858,R1a,NA,NA,0,0
61858,R1b,NA,NA,0,0
61858,R2a,NA,NA,0,0
61858,Rx2b,NA,NA,0,0
61858,Rx2a,NA,NA,0,0
61858,R2b,NA,NA,0,0
61858,R3a,NA,NA,0,0
61858,R3b,NA,NA,0,0
61858,HoT,2022-05-29T10:29:15-0400,2022-05-29T10:29:48-0400,5,1
61858,Inner_Bay,NA,NA,0,0
61858,Outer_Bay,2022-06-03T21:51:49-0400,2022-06-03T22:18:29-0400,26,1
61858,all_SoBI,NA,NA,0,0
61859,RP1,NA,NA,0,0
61859,all_MM,2022-05-28T03:35:35-0400,2022-05-28T03:38:27-0400,5,1
61859,Rx1,NA,NA,0,0
61859,R1a,NA,NA,0,0
61859,R1b,NA,NA,0,0
61859,R2a,NA,NA,0,0
61859,Rx2b,NA,NA,0,0
61859,Rx2a,NA,NA,0,0
61859,R2b,NA,NA,0,0
61859,R3a,NA,NA,0,0
61859,R3b,NA,NA,0,0
61859,HoT,2022-05-28T19:48:26-0400,2022-05-28T19:51:06-0400,9,1
61859,Inner_Bay,2022-05-30T05:03:45-0400,2022-05-30T05:04:34-0400,2,1
61859,Outer_Bay,2022-06-01T19:47:43-0400,2022-06-01T20:02:29-0400,19,1
